compound_id,original_index,SMILES,canon_smiles,inchi_key,bbb_status,label,molecular_weight,logp,polar_surface_area,hbd_count,hba_count,rotatable_bonds,aromatic_rings,heavy_atom_count,ring_count,data_source,original_classification
BBBP_00000,0,CCC(C)[C@H](NC(N[C@@H](Cc1ccccc1)C(N[C@@H](CCC(N)=O)C(=O)O)N[C@@H](CC(C)C)C(=O)O)[C@@H](NC([C@@H](N)Cc1ccccc1)N1CCC[C@H]1C(N[C@@H](C(C)N[C@@H](CCCCN)C(=O)O)C(N[C@@H](CCCNC(=N)N)C(=O)O)N[C@H](C(=O)O)C(C)CC)N[C@@H](Cc1cnc[nH]1)C(N[C@@H](CCCCN)C(=O)O)N[C@@H](CCC(=O)O)C(=O)O)C(C)C)C(N[C@@H](CCC(NCC(=O)O)N[C@@H](CCCCN)C(=O)O)C(O)N[C@@H](CCC(N)=O)C(=O)O)N[C@@H](CN[C@@H](CCC(=O)O)C(=O)O)C(N[C@@H](CCCNC(=N)N)C(=O)O)N[C@@H](CC(N)=O)C(=O)O,CCC(C)[C@H](NC(N[C@@H](Cc1ccccc1)C(N[C@@H](CCC(N)=O)C(=O)O)N[C@@H](CC(C)C)C(=O)O)[C@@H](NC([C@@H](N)Cc1ccccc1)N1CCC[C@H]1C(N[C@@H](C(C)N[C@@H](CCCCN)C(=O)O)C(N[C@@H](CCCNC(=N)N)C(=O)O)N[C@H](C(=O)O)C(C)CC)N[C@@H](Cc1cnc[nH]1)C(N[C@@H](CCCCN)C(=O)O)N[C@@H](CCC(=O)O)C(=O)O)C(C)C)C(N[C@@H](CCC(NCC(=O)O)N[C@@H](CCCCN)C(=O)O)C(O)N[C@@H](CCC(N)=O)C(=O)O)N[C@@H](CN[C@@H](CCC(=O)O)C(=O)O)C(N[C@@H](CCCNC(=N)N)C(=O)O)N[C@@H](CC(N)=O)C(=O)O,CDEJEVPXIQKIAZ-JEQACGALSA-N,BBB-,0,2705.2499999999964,-6.609660000000006,1209.4,50,47,115,3,190,4,experimental_classification,np
BBBP_00001,1,CC(C)C[C@H](NC(N[C@@H](CC(N)=O)C(=O)O)[C@H](CCC(N)N[C@@H](CCC(O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)C(=O)O)NC(N[C@@H](C(C)N[C@@H](C)C(=O)O)C(N[C@@H](CC(=O)O)C(=O)O)N[C@H](C(=O)O)C(C)O)[C@@H](N)CCCCN)C(=O)O,CC(C)C[C@H](NC(N[C@@H](CC(N)=O)C(=O)O)[C@H](CCC(N)N[C@@H](CCC(O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)C(=O)O)NC(N[C@@H](C(C)N[C@@H](C)C(=O)O)C(N[C@@H](CC(=O)O)C(=O)O)N[C@H](C(=O)O)C(C)O)[C@@H](N)CCCCN)C(=O)O,WDIQQPFXADBPJS-FRAUYAMQSA-N,BBB-,0,1192.333000000001,-5.065699999999998,588.51,24,24,48,1,83,1,experimental_classification,np
BBBP_00002,2,CCC(C)[C@H](NC(N[C@@H](CCSC)C(N[C@@H](C)C(N[C@@H](CCCCN)C(=O)O)N[C@@H](CC(C)C)C(=O)O)N[C@H](C(=O)O)C(C)CC)[C@H](CC(C)C)NC(NCC(N[C@@H](C(C)C)C(N[C@@H](CCSC)C(=O)O)N[C@@H](CC(C)C)C(=O)O)N1CCC[C@H]1C(N[C@@H](CC(N)=O)C(=O)O)N[C@H](C(=O)O)C(C)CC)[C@@H](N)CC(C)C)C(N[C@@H](C)C(=O)O)N[C@@H](CO)C(=O)O,CCC(C)[C@H](NC(N[C@@H](CCSC)C(N[C@@H](C)C(N[C@@H](CCCCN)C(=O)O)N[C@@H](CC(C)C)C(=O)O)N[C@H](C(=O)O)C(C)CC)[C@H](CC(C)C)NC(NCC(N[C@@H](C(C)C)C(N[C@@H](CCSC)C(=O)O)N[C@@H](CC(C)C)C(=O)O)N1CCC[C@H]1C(N[C@@H](CC(N)=O)C(=O)O)N[C@H](C(=O)O)C(C)CC)[C@@H](N)CC(C)C)C(N[C@@H](C)C(=O)O)N[C@@H](CO)C(=O)O,BLDCTMVHLGNLKV-QGMKUPIYSA-N,BBB-,0,1813.4800000000005,1.6741000000000235,634.75,28,31,76,0,124,1,experimental_classification,np
BBBP_00003,3,CCC(C)[C@H](NC(N[C@@H](CCC(=O)O)C(=O)O)[C@H](C)NC(C[C@H](NC(N[C@@H](CC(N[C@@H](CCCCN)C(=O)O)N[C@H](C(=O)O)C(C)C)C(N[C@@H](CO)C(=O)O)N[C@H](C(=O)O)C(C)C)[C@H](CC(C)C)NC(CN)N[C@@H](Cc1c[nH]c2ccccc12)C(N[C@@H](CCCCN)C(N[C@@H](C)C(=O)O)N[C@@H](CO)C(=O)O)N[C@@H](CC(C)C)C(N[C@@H](CO)C(=O)O)N[C@@H](CC(C)C)C(=O)O)C(N[C@@H](CCCCN)C(=O)O)N[C@@H](C)C(N[C@@H](CCCCN)C(=O)O)N[C@@H](CC(C)C)C(=O)O)N[C@@H](C)C(N[C@@H](C)C(=O)O)N[C@@H](C)C(=O)O)C(=O)O,CCC(C)[C@H](NC(N[C@@H](CCC(=O)O)C(=O)O)[C@H](C)NC(C[C@H](NC(N[C@@H](CC(N[C@@H](CCCCN)C(=O)O)N[C@H](C(=O)O)C(C)C)C(N[C@@H](CO)C(=O)O)N[C@H](C(=O)O)C(C)C)[C@H](CC(C)C)NC(CN)N[C@@H](Cc1c[nH]c2ccccc12)C(N[C@@H](CCCCN)C(N[C@@H](C)C(=O)O)N[C@@H](CO)C(=O)O)N[C@@H](CC(C)C)C(N[C@@H](CO)C(=O)O)N[C@@H](CC(C)C)C(=O)O)C(N[C@@H](CCCCN)C(=O)O)N[C@@H](C)C(N[C@@H](CCCCN)C(=O)O)N[C@@H](CC(C)C)C(=O)O)N[C@@H](C)C(N[C@@H](C)C(=O)O)N[C@@H](C)C(=O)O)C(=O)O,BWAFFJKOIDNHKG-VBNOXKAJSA-N,BBB-,0,2609.2379999999957,-4.352099999999976,1092.1,49,48,113,2,182,2,experimental_classification,np
BBBP_00004,4,CCC(C)[C@H](NC[C@H](NC(N)C[C@H](N)C(NCC(N[C@@H](CC(C)C)C(=O)O)N[C@H](C(=O)O)C(C)CC)N[C@@H](CCSC)C(NCC(=O)O)N[C@H](C(=O)O)C(C)CC)C(N[C@@H](CN[C@@H](CCC(=O)O)C(=O)O)C(O)N[C@@H](C)C(=O)O)N[C@@H](CC(N)N[C@H](C(=O)O)C(C)C)C(N[C@@H](CCSC)C(=O)O)N[C@H](C(=O)O)C(C)O)C(N[C@@H](CCCNC(=N)N)C(=O)O)N1CCC[C@H]1C(=O)O,CCC(C)[C@H](NC[C@H](NC(N)C[C@H](N)C(NCC(N[C@@H](CC(C)C)C(=O)O)N[C@H](C(=O)O)C(C)CC)N[C@@H](CCSC)C(NCC(=O)O)N[C@H](C(=O)O)C(C)CC)C(N[C@@H](CN[C@@H](CCC(=O)O)C(=O)O)C(O)N[C@@H](C)C(=O)O)N[C@@H](CC(N)N[C@H](C(=O)O)C(C)C)C(N[C@@H](CCSC)C(=O)O)N[C@H](C(=O)O)C(C)O)C(N[C@@H](CCCNC(=N)N)C(=O)O)N1CCC[C@H]1C(=O)O,RKQMAZJVWIOFHG-XKFNUKHPSA-N,BBB-,0,1921.405000000001,-5.197129999999945,823.7400000000001,36,37,80,0,131,1,experimental_classification,np
BBBP_00005,5,CC(C)C[C@H](NC(N[C@@H](Cc1cnc[nH]1)C(=O)O)[C@@H]1CCCN1C(N)C[C@H](N)C(N[C@@H](CC(N)=O)C(=O)O)N[C@H](C(=O)O)C(C)O)C(=O)O,CC(C)C[C@H](NC(N[C@@H](Cc1cnc[nH]1)C(=O)O)[C@@H]1CCCN1C(N)C[C@H](N)C(N[C@@H](CC(N)=O)C(=O)O)N[C@H](C(=O)O)C(C)O)C(=O)O,KNGFZXVYIHZSNB-WDRJVKMKSA-N,BBB-,0,700.7950000000005,-3.45550000000001,344.6,13,14,24,1,49,2,experimental_classification,np
BBBP_00006,6,CCC(C)[C@H](NC(CN)N[C@@H](C(C)C)C(N[C@@H](C)C(N[C@@H](CCCCN)C(=O)O)N[C@@H](CC(N)=O)C(=O)O)N[C@@H](CCCCN)C(N[C@@H](CC(C)C)C(=O)O)N[C@H](C(=O)O)C(C)C)C(N[C@@H](CC(NCC(NCC(=O)O)N[C@H](C(=O)O)C(C)CC)N[C@H](C(=O)O)C(C)C)C(NCC(=O)O)N[C@@H](CC(C)C)C(=O)O)N[C@@H](Cc1ccccc1)C(N[C@@H](CCCCN)C(=O)O)N[C@H](C(=O)O)C(C)CC,CCC(C)[C@H](NC(CN)N[C@@H](C(C)C)C(N[C@@H](C)C(N[C@@H](CCCCN)C(=O)O)N[C@@H](CC(N)=O)C(=O)O)N[C@@H](CCCCN)C(N[C@@H](CC(C)C)C(=O)O)N[C@H](C(=O)O)C(C)C)C(N[C@@H](CC(NCC(NCC(=O)O)N[C@H](C(=O)O)C(C)CC)N[C@H](C(=O)O)C(C)C)C(NCC(=O)O)N[C@@H](CC(C)C)C(=O)O)N[C@@H](Cc1ccccc1)C(N[C@@H](CCCCN)C(=O)O)N[C@H](C(=O)O)C(C)CC,LYJXFSDNXHDFSK-UKHCMTGTSA-N,BBB-,0,1959.5390000000004,-0.9339999999999213,774.01,34,34,86,1,137,1,experimental_classification,np
BBBP_00007,7,CC(O)[C@H](NC(NCC(=O)O)[C@H](CCC(N)NCC(=O)O)NC(N)CC[C@H](N)C(N[C@@H](Cc1ccc(O)cc1)C(=O)O)N[C@@H](CC(N[C@@H](Cc1ccccc1)C(=O)O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)C(N[C@@H](CC(=O)O)C(=O)O)N[C@@H](Cc1ccccc1)C(=O)O)C(=O)O,CC(O)[C@H](NC(NCC(=O)O)[C@H](CCC(N)NCC(=O)O)NC(N)CC[C@H](N)C(N[C@@H](Cc1ccc(O)cc1)C(=O)O)N[C@@H](CC(N[C@@H](Cc1ccccc1)C(=O)O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)C(N[C@@H](CC(=O)O)C(=O)O)N[C@@H](Cc1ccccc1)C(=O)O)C(=O)O,JCJPUCZIPYVKFW-FTSYYFNDSA-N,BBB-,0,1375.5020000000009,-2.327000000000038,590.3100000000002,25,24,50,5,98,5,experimental_classification,np
BBBP_00008,8,CSCC[C@H](NC(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H]1CCCN1C([C@@H](N)Cc1ccccc1)N1CCC[C@H]1C(=O)O)C(=O)O,CSCC[C@H](NC(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)[C@@H]1CCCN1C([C@@H](N)Cc1ccccc1)N1CCC[C@H]1C(=O)O)C(=O)O,POVNOGHELBVOFD-DAZQXOSCSA-N,BBB-,0,680.8720000000002,2.7847000000000017,184.24999999999994,7,9,18,3,48,5,experimental_classification,np
BBBP_00009,9,CCC(C)[C@H](NC(C)[C@H](NC(CNC(N[C@@H](C(C)C)C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)N[C@H](C(=O)O)C(C)C)[C@H](C)N)N[C@@H](Cc1c[nH]c2ccccc12)C(NCC(=O)O)N[C@H](C(=O)O)C(C)O)C(=O)O)C(=O)O,CCC(C)[C@H](NC(C)[C@H](NC(CNC(N[C@@H](C(C)C)C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)N[C@H](C(=O)O)C(C)C)[C@H](C)N)N[C@@H](Cc1c[nH]c2ccccc12)C(NCC(=O)O)N[C@H](C(=O)O)C(C)O)C(=O)O)C(=O)O,HRGOMVNKGISFDV-UXYBELDISA-N,BBB-,0,1097.326,0.6075999999999931,409.90000000000003,19,17,38,4,78,4,experimental_classification,np
