source_row_id,sequence,type,label,split_seed
1,CC(C)C[C@H](NC(N[C@@H](CC(N)=O)C(=O)O)[C@H](CCC(N)N[C@@H](CCC(O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)C(=O)O)NC(N[C@@H](C(C)N[C@@H](C)C(=O)O)C(N[C@@H](CC(=O)O)C(=O)O)N[C@H](C(=O)O)C(C)O)[C@@H](N)CCCCN)C(=O)O,SMILES,0,42
2,CCC(C)[C@H](NC(N[C@@H](CCSC)C(N[C@@H](C)C(N[C@@H](CCCCN)C(=O)O)N[C@@H](CC(C)C)C(=O)O)N[C@H](C(=O)O)C(C)CC)[C@H](CC(C)C)NC(NCC(N[C@@H](C(C)C)C(N[C@@H](CCSC)C(=O)O)N[C@@H](CC(C)C)C(=O)O)N1CCC[C@H]1C(N[C@@H](CC(N)=O)C(=O)O)N[C@H](C(=O)O)C(C)CC)[C@@H](N)CC(C)C)C(N[C@@H](C)C(=O)O)N[C@@H](CO)C(=O)O,SMILES,0,42
4,CCC(C)[C@H](NC[C@H](NC(N)C[C@H](N)C(NCC(N[C@@H](CC(C)C)C(=O)O)N[C@H](C(=O)O)C(C)CC)N[C@@H](CCSC)C(NCC(=O)O)N[C@H](C(=O)O)C(C)CC)C(N[C@@H](CN[C@@H](CCC(=O)O)C(=O)O)C(O)N[C@@H](C)C(=O)O)N[C@@H](CC(N)N[C@H](C(=O)O)C(C)C)C(N[C@@H](CCSC)C(=O)O)N[C@H](C(=O)O)C(C)O)C(N[C@@H](CCCNC(=N)N)C(=O)O)N1CCC[C@H]1C(=O)O,SMILES,0,42
5,CC(C)C[C@H](NC(N[C@@H](Cc1cnc[nH]1)C(=O)O)[C@@H]1CCCN1C(N)C[C@H](N)C(N[C@@H](CC(N)=O)C(=O)O)N[C@H](C(=O)O)C(C)O)C(=O)O,SMILES,0,42
6,CCC(C)[C@H](NC(CN)N[C@@H](C(C)C)C(N[C@@H](C)C(N[C@@H](CCCCN)C(=O)O)N[C@@H](CC(N)=O)C(=O)O)N[C@@H](CCCCN)C(N[C@@H](CC(C)C)C(=O)O)N[C@H](C(=O)O)C(C)C)C(N[C@@H](CC(NCC(NCC(=O)O)N[C@H](C(=O)O)C(C)CC)N[C@H](C(=O)O)C(C)C)C(NCC(=O)O)N[C@@H](CC(C)C)C(=O)O)N[C@@H](Cc1ccccc1)C(N[C@@H](CCCCN)C(=O)O)N[C@H](C(=O)O)C(C)CC,SMILES,0,42
7,CC(O)[C@H](NC(NCC(=O)O)[C@H](CCC(N)NCC(=O)O)NC(N)CC[C@H](N)C(N[C@@H](Cc1ccc(O)cc1)C(=O)O)N[C@@H](CC(N[C@@H](Cc1ccccc1)C(=O)O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)C(N[C@@H](CC(=O)O)C(=O)O)N[C@@H](Cc1ccccc1)C(=O)O)C(=O)O,SMILES,0,42
9,CCC(C)[C@H](NC(C)[C@H](NC(CNC(N[C@@H](C(C)C)C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)N[C@H](C(=O)O)C(C)C)[C@H](C)N)N[C@@H](Cc1c[nH]c2ccccc12)C(NCC(=O)O)N[C@H](C(=O)O)C(C)O)C(=O)O)C(=O)O,SMILES,0,42
11,CC(C)C[C@H](NC(O)[C@@H]1CCCN1C(C[C@H](N)C(N[C@@H](CO)C(=O)O)N[C@@H](Cc1ccccc1)C(=O)O)N1CCC[C@H]1C(N[C@@H](CCCNC(=N)N)C(=O)O)N1CCC[C@H]1C(=O)O)C(=O)O,SMILES,0,42
13,CCC(C)[C@H](N)C(N[C@@H](CC(C)C)C(N[C@@H](C(C)C)C(N[C@@H](CC(N)=O)C(=O)O)N[C@@H](CC(=O)O)C(=O)O)N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(=O)O)N[C@@H](CC(C)C)C(=O)O)N1CCC[C@H]1C(NCC(N[C@@H](CC(C)C)C(=O)O)N[C@@H](CC(C)C)C(=O)O)N[C@@H](CC(N)=O)C(=O)O,SMILES,0,42
15,CCC(C)[C@H](NC(C)[C@H](NC(N[C@@H](CCC(N)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)C(N[C@@H](C)C(=O)O)N[C@@H](CCCNC(=N)N)C(=O)O)[C@H](C)NC(N[C@@H](CC(N)N[C@@H](CC(N)=O)C(=O)O)C(N[C@@H](CO)C(=O)O)N[C@H](C(=O)O)C(C)CC)[C@@H](N)CCSC)C(N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)C(=O)O,SMILES,0,42
16,CCC(C)[C@H](NC(NCC(=O)O)[C@H](CCCCN)NC(N[C@@H](C(C)C)C(N[C@@H](CO)C(=O)O)N[C@H](C(=O)O)C(C)C)[C@H](Cc1c[nH]c2ccccc12)NC(CN)N[C@@H](CC(C)C)C(N[C@@H](CCC(N[C@@H](CCCCN)C(O)N[C@@H](CCCCN)C(=O)O)N[C@@H](CCC(N[C@@H](CCC(=O)O)C(=O)O)N[C@H](C(=O)O)C(C)C)C(NCC(=O)O)N[C@H](C(=O)O)C(C)C)C(N[C@@H](C)C(=O)O)N[C@@H](CC(N)=O)C(=O)O)N[C@@H](CCCCN)C(N[C@@H](CCC(=O)O)C(=O)O)N[C@@H](CC(C)C)C(=O)O)C(=O)O,SMILES,0,42
18,C[C@H](NC(O)[C@H](Cc1cnc[nH]1)NC(N[C@@H](CCC(N[C@@H](CO)C(=O)O)N[C@@H](Cc1cnc[nH]1)C(=O)O)C(NCC(=O)O)N[C@@H](CC(=O)O)C(=O)O)[C@@H](N)CS)C(=O)O,SMILES,0,42
21,CC(C)C[C@H](Nc1ccc(C[C@H](NC(CNC([C@H](C)N)N2CCC[C@H]2C(NCC(=O)O)N[C@@H](Cc2ccccc2)C(=O)O)N[C@@H](CO)C(=O)O)C(=O)O)cc1)C(=O)O,SMILES,0,42
