source_row_id,sequence,type,label,split_seed
0,COCN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,SMILES,1,88
1,CNC(=O)O[C@H]1OC(=O)[C@@]2(C)[C@@H]1[C@H]1C=C[C@@H]2C1,SMILES,1,88
3,CCCCCCCCCCCCCC(=O)O[C@H]1C=C[C@H]2[C@H]3Cc4ccc(OCc5ccccc5)c5c4[C@@]2(CCN3C)[C@H]1O5,SMILES,1,88
4,CCCCCC(C)C(C)c1cc(OC(=O)CCCN2CCCCCC2)c2c(c1)OC(C)(C)C1=C2CC(C)CC1,SMILES,1,88
5,CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(=O)C[C@@H]21,SMILES,1,88
7,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@H]4Cc5ccccc5C[C@@]4(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,SMILES,1,88
8,C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,SMILES,1,88
9,CC(C)=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,SMILES,1,88
10,CN=C(Cc1ccc2ccccc2c1)[NH2+]C,SMILES,1,88
11,C1=C(CC2=NCNC2)CCc2ccccc21,SMILES,1,88
12,CC(Oc1cccc2ccccc12)/C(N)=N/O,SMILES,1,88
14,Cc1cccc(C)c1NC(=O)CN1CCCC1=O,SMILES,1,88
15,O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1,SMILES,1,88
16,CC(CCN1CCN(c2ccc(F)cc2)CC1)NC(=O)c1cccnc1,SMILES,1,88
17,C/C=C\C1O[C@]2(C(=O)COC(=O)c3ccncc3)CC[C@@]3(O1)[C@@H]1CCC4=CC(=O)CC[C@]4(C)[C@H]1[C@@H](O)C[C@]23C,SMILES,1,88
18,CN1CC[C@]23c4c5ccc(OC(=O)c6cccnc6)c4O[C@H]2[C@@H](OC(=O)c2cccnc2)C=C[C@H]3[C@H]1C5,SMILES,1,88
19,O=C(c1cccnc1)N1CCOCC1,SMILES,1,88
21,CCN(CC)C(=O)c1cccnc1,SMILES,1,88
